id,name,schulform,street,plz,stadt,traeger,standorttyp,lat,lon
127,Gesamtschule Erle,Gesamtschule,Mühlbachstraße 3,45891,Gelsenkirchen,Stadt Gelsenkirchen,5,51.5592305706,7.0973690334
128,Evangelische Gesamtschule,Gesamtschule,Laarstr. 41,45889,Gelsenkirchen,Evangelische Kirche von Westfalen,5,51.530119377,7.09998337879
129,Gesamtschule Horst,Gesamtschule,Devensstr. 15,45899,Gelsenkirchen,Stadt Gelsenkirchen,5,51.5350042227,7.02201446794
130,Hauptschule Am Dahlbusch,Hauptschule,Am Dahlbusch 98,45884,Gelsenkirchen,Stadt Gelsenkirchen,5,51.4918284804,7.091300445
131,Carl-Friedrich-Gauß-Gymnasium,Gymnasium,Hammerschmidtstr. 13,45888,Gelsenkirchen,Stadt Gelsenkirchen,4,51.5151627999,7.11139291546
132,Annette-von-Droste-Hülshoff-Gymnasium,Gymnasium,Goldbergstr. 93,45894,Gelsenkirchen,Stadt Gelsenkirchen,3,51.5813216727,7.064459072
133,Realschule an der St. Michael-Straße,Realschule,St.-Michael-Straße 1,45896,Gelsenkirchen,Stadt Gelsenkirchen,4,51.6020808089,7.05694821274
134,Gerhart-Hauptmann-Realschule,Realschule,Mühlbachstraße 3,45891,Gelsenkirchen,Stadt Gelsenkirchen,4,51.5592305706,7.0973690334
135,Gertrud-Bäumer-Realschule,Realschule,Rotthauser Str. 2-4,45879,Gelsenkirchen,Stadt Gelsenkirchen,5,51.5070915041,7.09414253242
136,Lessing-Realschule,Realschule,Grenzstr. 3,45881,Gelsenkirchen,Stadt Gelsenkirchen,5,51.5171057481,7.08726552951
137,Sekundarschule Hassel,Sekundarschule,Eppmannsweg 34,45896,Gelsenkirchen,Stadt Gelsenkirchen,5,51.6020808089,7.05694821274
138,Gesamtschule Kaiserplatz,Gesamtschule,Kaiserplatz 50,47800,Krefeld,Stadt Krefeld,4,51.3433818596,6.59027068935
139,Robert-Jungk-Schule,Gesamtschule,Reepenweg 40,47839,Krefeld,Stadt Krefeld,3,51.3701505408,6.49710108568
140,Gesamtschule Uerdingen,Gesamtschule,Uerdinger Straße 783,47800,Krefeld,Stadt Krefeld,4,51.3497836736,6.63292660678
141,Gartenstadtschule,Hauptschule,Breslauer Straße 280,47829,Krefeld,Stadt Krefeld,4,51.3659454752,6.61768481563
142,Josef-Hafels-Schule,Hauptschule,Hafelsstr. 41,47807,Krefeld,Stadt Krefeld,5,51.3076659316,6.58936772575
143,Gymnasium Am Moltkeplatz,Gymnasium,Moltkeplatz 12,47799,Krefeld,Stadt Krefeld,3,51.3390515418,6.57903600039
144,Fabritianum,Gymnasium,Fabritiusstr. 15a,47829,Krefeld,Stadt Krefeld,2,51.3493506621,6.64147549006
145,Fichte-Gymnasium,Gymnasium,Lindenstraße 52,47798,Krefeld,Stadt Krefeld,5,51.3273739688,6.56086922322
